fecha,tipo_cambio
2023-02-17,7336.16
2023-02-20,7327.2
2023-02-21,7314.16
2023-02-22,7318.91
2023-02-23,7295.38
2023-02-24,7283.38
2023-02-28,7229.59
2023-03-01,7215.24
2023-03-02,7208.83
2023-03-03,7184.27
2023-03-06,7187.62
2023-03-07,7189.32
2023-03-08,7210.13
2023-03-09,7210.13
2023-03-10,7189.69
2023-03-13,7195.57
2023-03-14,7193.17
2023-03-15,7216.1
2023-03-16,7215.95
2023-03-17,7199.93
2023-03-20,7175.83
2023-03-21,7188.74
2023-03-22,7184.44
2023-03-23,7163.95
2023-03-24,7162.11
2023-03-27,7177.81
2023-03-28,7180.89
2023-03-29,7166.94
2023-03-30,7155.09
2023-03-31,7195.44
2023-04-03,7189.88
2023-04-04,7167.05
2023-04-05,7168.43
2023-04-10,7176.89
2023-04-11,7161.72
2023-04-12,7158.35
2023-04-13,7152.56
2023-04-14,7134.63
2023-04-17,7126.81
2023-04-18,7123.91
2023-04-19,7135.16
2023-04-20,7132.8
2023-04-21,7164.97
2023-04-24,7199.52
2023-04-25,7223.69
2023-04-26,7268.51
2023-04-27,7255.53
2023-04-28,7231.82
2023-05-02,7197.27
2023-05-03,7166.02
2023-05-04,7170.08
2023-05-05,7154.51
2023-05-08,7154.38
2023-05-09,7182.91
2023-05-10,7194.97
2023-05-11,7225.4
2023-05-12,7210.79
2023-05-16,7190.42
2023-05-17,7208.94
2023-05-18,7241.03
2023-05-19,7247.9
2023-05-22,7229.82
2023-05-23,7236.2
2023-05-24,7245.08
2023-05-25,7230.65
2023-05-26,7216.83
2023-05-29,7217.39
2023-05-30,7277.21
2023-05-31,7274.61
2023-06-01,7241.7
2023-06-02,7229.44
2023-06-05,7245.38
2023-06-06,7251.43
2023-06-07,7234.43
2023-06-08,7253.62
2023-06-09,7250.5
2023-06-13,7247.22
2023-06-14,7237.25
2023-06-15,7248.31
2023-06-16,7255.43
2023-06-19,7246.8
2023-06-20,7266.59
2023-06-21,7280.23
2023-06-22,7289.82
2023-06-23,7262.95
2023-06-26,7274.03
2023-06-27,7289.68
2023-06-28,7279.87
2023-06-29,7269.55
2023-06-30,7266.05
2023-07-03,7262.67
2023-07-04,7260.1
2023-07-05,7284.4
2023-07-06,7299.67
2023-07-07,7287.1
2023-07-10,7282.15
2023-07-11,7279.63
2023-07-12,7273.74
2023-07-13,7264.67
2023-07-14,7275.12
2023-07-17,7270.04
2023-07-18,7267.25
2023-07-19,7278.89
2023-07-20,7280.24
2023-07-21,7275.47
2023-07-24,7269.38
2023-07-25,7278.31
2023-07-26,7276.31
2023-07-27,7289.72
2023-07-28,7277.17
2023-07-31,7289.18
2023-08-01,7279.52
2023-08-02,7288.28
2023-08-03,7293.02
2023-08-04,7275.35
2023-08-07,7271.69
2023-08-08,7266.57
2023-08-09,7276.84
2023-08-10,7271.59
